MOTIF	LENGTH	GC	EVENT_p14	EVENT_p15	EVENT_p16	EVENT_p17	best_pval
AHR.H12CORE.0.P.B	10	0.650049850448654	127894	14297	708	0	1e-05
AHRR.H12CORE.0.P.C	11	0.577844311377246	130296	16920	463	0	1e-05
ALX1.H12CORE.0.SM.B	20	0.331038596491228	428108	77581	8170	672	1e-06
ALX3.H12CORE.0.SM.B	12	0.348995341860098	256490	15255	464	25	1e-05
ALX3.H12CORE.1.S.B	20	0.338660477453581	423106	86984	7955	577	1e-06
ALX4.H12CORE.0.S.B	20	0.321288692356286	440984	70755	8591	732	1e-06
ALX4.H12CORE.1.SM.B	13	0.334108019639935	329671	36853	2884	50	1e-05
ANDR.H12CORE.0.P.B	17	0.472235294117647	462973	80185	10909	1430	1e-06
ANDR.H12CORE.1.S.C	8	0.463435180978343	355683	0	0	0	1e-05
ANDR.H12CORE.2.P.B	19	0.407711260222269	751686	267992	46164	8676	1e-07
AP2A.H12CORE.0.PSM.A	15	0.656544256120527	335723	58690	7565	835	1e-06
AP2B.H12CORE.0.SM.B	18	0.577171778725709	291669	41015	5059	574	1e-05
AP2C.H12CORE.0.PSM.A	15	0.629450239250921	305138	49201	5464	429	1e-06
AP2E.H12CORE.0.SM.B	16	0.616244355243352	363781	61639	7387	700	1e-06
ARGFX.H12CORE.0.SM.B	15	0.252139772281115	444297	114063	27828	2076	1e-06
ARI1A.H12CORE.0.P.C	11	0.258377985650713	695690	157365	15771	0	1e-06
ARNT.H12CORE.0.P.B	9	0.604888888888889	99360	7110	0	0	1e-05
ARNT.H12CORE.1.P.B	19	0.600241863399758	179332	31349	2808	276	1e-05
ARNT2.H12CORE.0.P.B	13	0.553239480438671	252450	32042	2065	301	1e-05
ARNT2.H12CORE.1.P.B	11	0.652059517328978	130185	29043	1178	0	1e-05
ARNT2.H12CORE.2.S.C	12	0.565499068250641	162742	16103	1445	57	1e-05
ARX.H12CORE.0.S.B	18	0.242504536622184	506680	121321	15268	2843	1e-06
ARX.H12CORE.1.SM.B	12	0.357175819104753	280617	24537	617	25	1e-05
ASCL1.H12CORE.0.PSM.A	11	0.592611186016046	470365	105818	9386	0	1e-06
ASCL2.H12CORE.0.PSM.A	9	0.645168590178773	554569	111118	0	0	1e-06
