TF-Motif	ES	NES	p-value
HO_CPEB1_HUMAN.H10MO.D.bed	0.161351904545	-850.654851494	0.0
HO_P53_HUMAN.H10MO.B.bed	0.182143716966	-66.6032111893	3.33133187702e-10
HO_P63_HUMAN.H10MO.A.bed	0.187086069002	-470.981897585	3.14047572281e-07
HO_P73_HUMAN.H10MO.A.bed	0.0997522216894	-150.29964763	1.35672436752e-06
HO_ZBED1_HUMAN.H10MO.D.bed	-0.115397355153	-219.161246346	5.32892103061e-06
HO_SCRT2_HUMAN.H10MO.D.bed	-0.119001410481	-9918.65729933	1.21666012932e-05
HO_SOX18_HUMAN.H10MO.D.bed	-0.0870442103498	223.663129851	1.39095583831e-05
HO_EVX2_HUMAN.H10MO.A.bed	-0.0597626367829	964.379962514	4.61704983152e-05
HO_CDX2_HUMAN.H10MO.C.bed	-0.0476662985096	379.657420871	9.636607538e-05
HO_BRCA1_HUMAN.H10MO.D.bed	-0.0659051114083	-65.4736995633	0.00014590657863
HO_PO2F1_HUMAN.H10MO.B.bed	-0.0597215513089	74.3939945493	0.000217533410939
HO_HXD11_HUMAN.H10MO.D.bed	-0.0446616853226	-88.7720560541	0.000377213949526
HO_SP4_HUMAN.H10MO.D.bed	0.0472943709096	-606.435028889	0.000492950410948
HO_TCF7_HUMAN.H10MO.C.bed	-0.0761915326215	31.0140976809	0.000512352374045
HO_SP2_HUMAN.H10MO.C.bed	0.0441144970522	-502.522365681	0.000635714773306
HO_SOX13_HUMAN.H10MO.D.bed	-0.0581590437059	-212.201723415	0.000788031028982
HO_TFDP1_HUMAN.H10MO.D.bed	0.0441729004034	-121.675539644	0.00103959957768
HO_SP3_HUMAN.H10MO.B.bed	0.0372188205814	-24.6846820461	0.00189118300358
HO_E2F6_HUMAN.H10MO.C.bed	0.0612866323505	-221.269868831	0.00197338431564
HO_RAX2_HUMAN.H10MO.D.bed	-0.0561226525278	-102.40984091	0.00197486019146
HO_ZEB1_HUMAN.H10MO.B.bed	0.0466329263804	-247.362673173	0.00198859520187
HO_MECP2_HUMAN.H10MO.C.bed	0.0457901308765	89.9149405823	0.00220665457658
HO_PAX5_HUMAN.H10MO.S.bed	0.0355169283146	-316.363860105	0.00283516768001
HO_HXD9_HUMAN.H10MO.D.bed	-0.0402237146145	-107.537434458	0.00327907962789
HO_ARI3A_HUMAN.H10MO.S.bed	-0.0352953291787	228.282432943	0.00344330241958
HO_PROX1_HUMAN.H10MO.D.bed	0.0556279055159	-1108.60829002	0.00351933151744
HO_FOXA3_HUMAN.H10MO.C.bed	-0.0360257669598	-3193.72492124	0.00354773511784
HO_WT1_HUMAN.H10MO.D.bed	0.049088450055	31.2823749367	0.00382778096064
HO_ZN639_HUMAN.H10MO.D.bed	0.074996010965	-156.632983248	0.00451174294865
HO_FOXP3_HUMAN.H10MO.D.bed	-0.0446182856636	-356.773399253	0.00507660727651
HO_SOX10_HUMAN.H10MO.D.bed	-0.0308946344817	-119.625566082	0.00509193179883
HO_PITX2_HUMAN.H10MO.D.bed	0.0310151866855	-1379.78654473	0.00517335523214
HO_HES7_HUMAN.H10MO.D.bed	0.0819502135282	150.833869371	0.00662788055789
HO_SOX15_HUMAN.H10MO.D.bed	-0.0309822866978	520.820120704	0.00674688974592
HO_HES5_HUMAN.H10MO.D.bed	0.0765362322266	-47.3762654909	0.00684297395319
HO_THA_HUMAN.H10MO.C.bed	0.0336459849834	1667.31026816	0.00700906815454
HO_KLF6_HUMAN.H10MO.D.bed	0.0387163818935	-85.930563709	0.00718188666689
HO_PAX5_HUMAN.H10MO.A.bed	0.0372162042823	-48.9523733235	0.00727533613111
HO_RARB_HUMAN.H10MO.D.bed	0.029279124578	-68.6283867019	0.00752695818466
HO_EGR1_HUMAN.H10MO.A.bed	0.0346737275467	-203.298721079	0.00763950776908
HO_AIRE_HUMAN.H10MO.C.bed	-0.0568511090357	156.873841562	0.00767907863345
HO_EGR4_HUMAN.H10MO.D.bed	0.0449805972829	-71.6728252893	0.00818121345566
HO_GATA6_HUMAN.H10MO.S.bed	-0.0367762923144	268.366648271	0.00904820663938
HO_HXC10_HUMAN.H10MO.D.bed	-0.0280814873119	-27.812756984	0.00908932601941
HO_ISL1_HUMAN.H10MO.D.bed	-0.0354562232573	55.581175819	0.00910116814896
HO_GATA6_HUMAN.H10MO.B.bed	-0.0549467795698	74.8825146368	0.00920147807339
HO_TBX1_HUMAN.H10MO.D.bed	0.0436727627953	-88.4557634228	0.00927064845304
HO_MAZ_HUMAN.H10MO.A.bed	0.0319153327507	125.401901243	0.00944776185724
HO_THA_HUMAN.H10MO.S.bed	0.0330547204612	550.598305849	0.00976103523057
HO_ETV1_HUMAN.H10MO.B.bed	0.0489396967544	-109.552919671	0.0101604143589
HO_GATA1_HUMAN.H10MO.A.bed	-0.0686587468229	-146.099538171	0.0105800790208
HO_AP2B_HUMAN.H10MO.B.bed	0.0517174036706	39.8863487674	0.0107121909096
HO_ONEC2_HUMAN.H10MO.D.bed	-0.0312513092604	278.089376211	0.0109339412222
HO_RXRB_HUMAN.H10MO.C.bed	0.0305556936247	-58.4485637232	0.0109675125965
HO_NRF1_HUMAN.H10MO.A.bed	0.0663591930902	-111.980826819	0.012244621321
HO_EGR2_HUMAN.H10MO.C.bed	0.0478514926155	135.189100028	0.0131737461845
HO_SNAI1_HUMAN.H10MO.C.bed	0.0402880523539	57.1988488631	0.0132277288183
HO_THAP1_HUMAN.H10MO.D.bed	0.0514455258396	-82.8958542645	0.0136062585175
HO_ID4_HUMAN.H10MO.D.bed	0.0326026389435	51.4807336906	0.0142615018034
HO_EGR1_HUMAN.H10MO.S.bed	0.0616573816951	-124.766878295	0.0146106247866
HO_NF2L1_HUMAN.H10MO.C.bed	-0.0265342191304	208.794937942	0.0156967121036
HO_PLAG1_HUMAN.H10MO.S.bed	0.0715706353971	-85.8325877347	0.015969782714
HO_PRRX2_HUMAN.H10MO.C.bed	-0.0272451202886	41.6866900605	0.015986524422
HO_ZFX_HUMAN.H10MO.C.bed	0.0422897298044	52.205712612	0.0172842644283
HO_KLF15_HUMAN.H10MO.D.bed	0.0318053649979	52.5934670363	0.0176375690737
HO_HNF6_HUMAN.H10MO.C.bed	-0.0418277982403	288.007691428	0.0178998985045
HO_RREB1_HUMAN.H10MO.D.bed	0.0429308406597	55.0049511038	0.0179840486369
HO_IKZF1_HUMAN.H10MO.C.bed	0.0272090783092	-76.9295174741	0.0180232308446
HO_RARG_HUMAN.H10MO.S.bed	0.0259017861014	-236.828807373	0.0187049311343
HO_RARA_HUMAN.H10MO.S.bed	0.0259017861014	-140.191705175	0.0192074371494
HO_SNAI2_HUMAN.H10MO.C.bed	0.0270355632148	-158.861199118	0.0194482090255
HO_PAX2_HUMAN.H10MO.D.bed	0.107795176267	-188.920530479	0.0200404414651
HO_NKX21_HUMAN.H10MO.D.bed	-0.0627683538804	-77.6539292187	0.0207539943419
HO_FOXD3_HUMAN.H10MO.D.bed	-0.0263583788958	-85.2216916177	0.0227133758179
HO_GATA1_HUMAN.H10MO.S.bed	-0.040544631054	140.181738134	0.0235410502242
HO_MYF6_HUMAN.H10MO.C.bed	0.0249107516148	91.8840288112	0.0246466425132
HO_HTF4_HUMAN.H10MO.B.bed	0.0314924787581	-239.341730656	0.0254259703417
HO_KLF16_HUMAN.H10MO.D.bed	0.0257258218154	123.605918555	0.0268043313371
HO_GATA2_HUMAN.H10MO.A.bed	-0.050582360467	74.4110608398	0.0274654919733
HO_REST_HUMAN.H10MO.A.bed	-0.0820243442105	-100.535291891	0.0280199764341
HO_PAX2_HUMAN.H10MO.S.bed	0.0284746148662	-51.7965410572	0.0280390318724
HO_TBX5_HUMAN.H10MO.D.bed	0.0283867595085	4078.91711821	0.0287304509903
HO_ZN219_HUMAN.H10MO.D.bed	0.0347945799836	-123.94009863	0.0289165697732
HO_ESX1_HUMAN.H10MO.D.bed	0.0409352185141	-27.3026514038	0.0294248907118
HO_EVI1_HUMAN.H10MO.B.bed	-0.0688141313085	323.798622623	0.0300771210344
HO_FOXJ3_HUMAN.H10MO.S.bed	0.0275975494383	49.845502685	0.0304540318669
HO_TWST1_HUMAN.H10MO.D.bed	0.0465443289502	-64.4912550106	0.0306128445069
HO_FOXF1_HUMAN.H10MO.D.bed	-0.0267121895343	43.0557767179	0.0338908689918
HO_NR1I2_HUMAN.H10MO.S.bed	-0.02931249762	-61.6306109455	0.033958879485
HO_NR1I3_HUMAN.H10MO.S.bed	-0.0260334455793	170.236636156	0.034242125625
HO_FOXM1_HUMAN.H10MO.D.bed	-0.0240369040672	145.632088464	0.0363095480351
HO_CREM_HUMAN.H10MO.C.bed	0.0816775483086	-67.6136767879	0.0366065100691
HO_FOXO3_HUMAN.H10MO.B.bed	-0.0295429990901	330.678229886	0.0367524204007
HO_NFYC_HUMAN.H10MO.B.bed	0.0537900404068	97.1155119125	0.0380899131211
HO_SRBP2_HUMAN.H10MO.B.bed	0.0346611116846	-49.0991272961	0.0381671306325
HO_MAFG_HUMAN.H10MO.S.bed	-0.0247870344692	-74.3996794559	0.0383162023995
HO_ZBT7B_HUMAN.H10MO.D.bed	0.076071117721	36.6754607478	0.038876803322
HO_TBX15_HUMAN.H10MO.D.bed	0.023069611576	-26.2373856771	0.0402260637343
HO_MITF_HUMAN.H10MO.C.bed	-0.0472710972788	-83.9627630109	0.0414618306742
HO_KLF13_HUMAN.H10MO.D.bed	0.03037856297	-35.5173145626	0.0417235403911
HO_MYBA_HUMAN.H10MO.D.bed	0.201325423607	-181.992981389	0.0424499902436
HO_TGIF1_HUMAN.H10MO.S.bed	0.0243142999523	41.5113702284	0.0430518771187
