Model	Transcription factor
ANDR_HUMAN.H11MO.0.A	AR
ANDR_HUMAN.H11MO.1.A	AR
ANDR_HUMAN.H11MO.2.A	AR
AP2A_HUMAN.H11MO.0.A	TFAP2A
AP2C_HUMAN.H11MO.0.A	TFAP2C
ASCL1_HUMAN.H11MO.0.A	ASCL1
ATF3_HUMAN.H11MO.0.A	ATF3
ATF4_HUMAN.H11MO.0.A	ATF4
BACH1_HUMAN.H11MO.0.A	BACH1
BACH2_HUMAN.H11MO.0.A	BACH2
BATF_HUMAN.H11MO.0.A	BATF
BATF_HUMAN.H11MO.1.A	BATF
BC11A_HUMAN.H11MO.0.A	BCL11A
BCL6_HUMAN.H11MO.0.A	BCL6
BHE40_HUMAN.H11MO.0.A	BHLHE40
BMAL1_HUMAN.H11MO.0.A	ARNTL
BRAC_HUMAN.H11MO.0.A	T
CDX2_HUMAN.H11MO.0.A	CDX2
CEBPA_HUMAN.H11MO.0.A	CEBPA
CEBPB_HUMAN.H11MO.0.A	CEBPB
CEBPE_HUMAN.H11MO.0.A	CEBPE
COE1_HUMAN.H11MO.0.A	EBF1
COT2_HUMAN.H11MO.0.A	NR2F2
COT2_HUMAN.H11MO.1.A	NR2F2
CREB1_HUMAN.H11MO.0.A	CREB1
CTCFL_HUMAN.H11MO.0.A	CTCFL
CTCF_HUMAN.H11MO.0.A	CTCF
DUX4_HUMAN.H11MO.0.A	DUX4
E2F1_HUMAN.H11MO.0.A	E2F1
E2F3_HUMAN.H11MO.0.A	E2F3
E2F4_HUMAN.H11MO.0.A	E2F4
E2F4_HUMAN.H11MO.1.A	E2F4
E2F6_HUMAN.H11MO.0.A	E2F6
EGR1_HUMAN.H11MO.0.A	EGR1
EGR2_HUMAN.H11MO.0.A	EGR2
EGR2_HUMAN.H11MO.1.A	EGR2
ELF1_HUMAN.H11MO.0.A	ELF1
ELF3_HUMAN.H11MO.0.A	ELF3
ELF5_HUMAN.H11MO.0.A	ELF5
ELK4_HUMAN.H11MO.0.A	ELK4
ERG_HUMAN.H11MO.0.A	ERG
ERR1_HUMAN.H11MO.0.A	ESRRA
ERR2_HUMAN.H11MO.0.A	ESRRB
ESR1_HUMAN.H11MO.0.A	ESR1
ESR1_HUMAN.H11MO.1.A	ESR1
ESR2_HUMAN.H11MO.0.A	ESR2
ESR2_HUMAN.H11MO.1.A	ESR2
ETS1_HUMAN.H11MO.0.A	ETS1
ETV1_HUMAN.H11MO.0.A	ETV1
FLI1_HUMAN.H11MO.0.A	FLI1
FLI1_HUMAN.H11MO.1.A	FLI1
FOSB_HUMAN.H11MO.0.A	FOSB
FOSL1_HUMAN.H11MO.0.A	FOSL1
FOSL2_HUMAN.H11MO.0.A	FOSL2
FOS_HUMAN.H11MO.0.A	FOS
FOXA1_HUMAN.H11MO.0.A	FOXA1
FOXA2_HUMAN.H11MO.0.A	FOXA2
FOXH1_HUMAN.H11MO.0.A	FOXH1
FOXJ3_HUMAN.H11MO.0.A	FOXJ3
FOXK1_HUMAN.H11MO.0.A	FOXK1
FOXM1_HUMAN.H11MO.0.A	FOXM1
FOXO1_HUMAN.H11MO.0.A	FOXO1
FOXP1_HUMAN.H11MO.0.A	FOXP1
GABPA_HUMAN.H11MO.0.A	GABPA
GATA1_HUMAN.H11MO.0.A	GATA1
GATA1_HUMAN.H11MO.1.A	GATA1
GATA2_HUMAN.H11MO.0.A	GATA2
GATA2_HUMAN.H11MO.1.A	GATA2
GATA3_HUMAN.H11MO.0.A	GATA3
GATA4_HUMAN.H11MO.0.A	GATA4
GATA6_HUMAN.H11MO.0.A	GATA6
