TF-Motif	ES	NES	P-value	FDR
HO_P63_HUMAN.H10MO.A.bed	0.260444217419	11.939884681	0.0	0.0
HO_P53_HUMAN.H10MO.B.bed	0.203675242601	11.3279776305	0.0	0.0
HO_P73_HUMAN.H10MO.A.bed	0.119320426099	9.11217388942	0.0	0.0
HO_SCRT2_HUMAN.H10MO.D.bed	-0.134609457913	-7.22862587663	1.11533528287e-12	1.28816201139e-12
HO_ZBED1_HUMAN.H10MO.D.bed	-0.12146332856	-6.97631481943	2.1446493927e-11	3.50693944062e-11
HO_CPEB1_HUMAN.H10MO.D.bed	0.0522612024729	6.52678732299	1.76304415511e-10	8.24898761625e-10
HO_EVX2_HUMAN.H10MO.A.bed	-0.0613514833219	-6.51217884102	1.88258881665e-10	1.21892871866e-09
HO_TCF7_HUMAN.H10MO.C.bed	-0.089279894104	-6.19800938581	1.47556390706e-09	2.40060016352e-09
HO_PO2F1_HUMAN.H10MO.B.bed	-0.0606778514259	-5.8573456751	1.19715045469e-08	1.35339231298e-08
HO_SOX18_HUMAN.H10MO.D.bed	-0.0781985446563	-5.74757613548	1.17571351527e-08	6.8512033026e-08
HO_CDX2_HUMAN.H10MO.C.bed	-0.0430108056944	-5.25629516928	2.54896340116e-07	5.96308591294e-07
HO_SOX13_HUMAN.H10MO.D.bed	-0.0598686046908	-4.94094551778	8.06272314792e-07	8.33581538357e-07
HO_SNAI2_HUMAN.H10MO.C.bed	0.0409379632019	4.74270457767	2.37284481663e-06	3.01186837121e-06
HO_HNF6_HUMAN.H10MO.C.bed	-0.0568525503472	-4.61453226279	4.68178461474e-06	5.47632105483e-06
HO_AIRE_HUMAN.H10MO.C.bed	-0.0679362075719	-4.55460997025	7.56801288797e-06	8.7093290147e-06
HO_BRCA1_HUMAN.H10MO.D.bed	-0.0538689522093	-4.57315912326	7.28149298947e-06	1.04183861747e-05
HO_SP1_HUMAN.H10MO.S.bed	-0.0480065285113	-4.57293220044	5.79992614767e-06	2.1244300918e-05
HO_PITX2_HUMAN.H10MO.D.bed	0.0332030107471	4.28417623554	2.48129145896e-05	3.29297686375e-05
HO_RAX2_HUMAN.H10MO.D.bed	-0.053884388957	-4.46530407108	1.17471755132e-05	3.94237670363e-05
HO_HXD11_HUMAN.H10MO.D.bed	-0.0374467486717	-4.3043461184	1.76958984301e-05	4.10980829481e-05
HO_SP1_HUMAN.H10MO.C.bed	-0.0379258516638	-3.97755292248	6.49915340427e-05	9.36170186997e-05
HO_FOXP3_HUMAN.H10MO.D.bed	-0.0463738088881	-4.2135925842	2.64081982044e-05	0.000118375210133
HO_MAZ_HUMAN.H10MO.A.bed	-0.0362217173362	-3.85192078525	0.000126312561541	0.000135169201917
HO_KLF6_HUMAN.H10MO.D.bed	-0.0471499792675	-3.91888640022	8.62260567503e-05	0.000162561477579
HO_SP2_HUMAN.H10MO.C.bed	-0.0396376529718	-3.8323771074	0.000101517918465	0.00024932178443
HO_NRF1_HUMAN.H10MO.A.bed	-0.0967317479779	-3.88081672282	0.00012337367248	0.000253469628396
HO_PAX5_HUMAN.H10MO.S.bed	0.0318690846914	3.89992142845	8.2369087591e-05	0.00040614296266
HO_HTF4_HUMAN.H10MO.B.bed	0.0365690922433	3.63750192267	0.000263962434056	0.000477965876355
HO_TFDP1_HUMAN.H10MO.D.bed	-0.039688336942	-3.70502324966	0.000175641396438	0.000491642511427
HO_GABPA_HUMAN.H10MO.A.bed	-0.0895240199863	-3.4110406187	0.000450054985488	0.000627141838473
HO_SP4_HUMAN.H10MO.D.bed	-0.0371183341774	-3.45182280752	0.000445009410419	0.000628306238058
HO_ITF2_HUMAN.H10MO.B.bed	0.0316896893171	3.32808268933	0.000653954420161	0.000779153872347
HO_TBX5_HUMAN.H10MO.D.bed	0.0310834277251	3.42751957636	0.000446327731103	0.000872244133041
HO_MYF6_HUMAN.H10MO.C.bed	0.0273616988571	3.25671729454	0.000755497174599	0.00087889961691
HO_EGR4_HUMAN.H10MO.D.bed	-0.0463196602525	-3.44641597857	0.000513610661402	0.00100989090171
HO_PBX3_HUMAN.H10MO.B.bed	-0.0531910209406	-3.26057550856	0.000917462329949	0.00103903419346
HO_ELK1_HUMAN.H10MO.A.bed	-0.103192972453	-3.22409481354	0.00088629073533	0.00107597038134
HO_THA_HUMAN.H10MO.C.bed	0.0283174714098	3.36601468614	0.000669556914926	0.00110330586753
HO_HXD9_HUMAN.H10MO.D.bed	-0.0341677852288	-3.6719919055	0.000221667634711	0.00112769010992
HO_ID4_HUMAN.H10MO.D.bed	0.0310141666915	3.42027281856	0.000475510160342	0.00138546369445
HO_RARG_HUMAN.H10MO.S.bed	0.0300778811216	3.71360049689	0.000183416837085	0.00139964514966
HO_SP3_HUMAN.H10MO.B.bed	-0.0334709661899	-3.44405291173	0.000513021185525	0.00146154035521
HO_GATA1_HUMAN.H10MO.A.bed	-0.0667179461447	-3.13924943354	0.00121836091792	0.0016441459966
HO_SPDEF_HUMAN.H10MO.D.bed	-0.0634956428126	-3.15441379412	0.00122126855513	0.00173962920853
HO_ZN639_HUMAN.H10MO.D.bed	-0.0735615206093	-3.13362161093	0.00160996967386	0.00175210621553
HO_ONEC2_HUMAN.H10MO.D.bed	-0.0284670647283	-3.36085760904	0.000751013772869	0.00183041759851
HO_TBX2_HUMAN.H10MO.D.bed	0.033196622101	3.18870877665	0.00119944538463	0.00196635419833
