TF-Motif	ES	NES	P-value	FDR
HO_CPEB1_HUMAN.H10MO.D.bed	0.161351904545	13.6380256355	0.0	0.0
HO_P53_HUMAN.H10MO.B.bed	0.182143716966	6.46237014695	2.62422972241e-10	5.3571058983e-10
HO_P63_HUMAN.H10MO.A.bed	0.187086069002	5.22677919381	1.86880464437e-07	5.11924691042e-07
HO_P73_HUMAN.H10MO.A.bed	0.0997522216894	4.79952496893	2.38808065967e-06	3.29195635021e-06
HO_ZBED1_HUMAN.H10MO.D.bed	-0.115397355153	-4.6504363061	4.00648980436e-06	6.55142848111e-06
HO_SCRT2_HUMAN.H10MO.D.bed	-0.119001410481	-4.3525727041	1.45481005219e-05	1.68024007829e-05
HO_SOX18_HUMAN.H10MO.D.bed	-0.0870442103498	-4.36185714675	1.7025576503e-05	9.92126776221e-05
HO_PO2F1_HUMAN.H10MO.B.bed	-0.0597215513089	-3.7906806596	0.000102045637015	0.000115363762481
HO_CDX2_HUMAN.H10MO.C.bed	-0.0476662985096	-3.84301513697	0.00010262400734	0.000240080250747
HO_EVX2_HUMAN.H10MO.A.bed	-0.0597626367829	-4.13885557914	3.94073516343e-05	0.00025515265048
HO_BRCA1_HUMAN.H10MO.D.bed	-0.0659051114083	-3.73308207329	0.000195918981138	0.000280321577923
HO_TCF7_HUMAN.H10MO.C.bed	-0.0761915326215	-3.45341411346	0.000413974845053	0.000673497146394
HO_SP4_HUMAN.H10MO.D.bed	0.0472943709096	3.44388826272	0.000486326271273	0.000686641277282
HO_HXD11_HUMAN.H10MO.D.bed	-0.0446616853226	-3.4208737938	0.000497894396638	0.00115634169654
HO_SOX13_HUMAN.H10MO.D.bed	-0.0581590437059	-3.24360031686	0.00114131219268	0.00117996954114
HO_SP2_HUMAN.H10MO.C.bed	0.0441144970522	3.23202041198	0.000964141986333	0.00236787361395
HO_MECP2_HUMAN.H10MO.C.bed	0.0457901308765	2.96384755839	0.00188130954308	0.00240702478466
HO_E2F6_HUMAN.H10MO.C.bed	0.0612866323505	2.96019961496	0.00272442638666	0.00272442638666
HO_TFDP1_HUMAN.H10MO.D.bed	0.0441729004034	3.21236823939	0.00107488751086	0.00300874626402
HO_ARI3A_HUMAN.H10MO.S.bed	-0.0352953291787	-2.89476681742	0.002708468525	0.00436213146866
HO_ZN639_HUMAN.H10MO.D.bed	0.074996010965	2.7454551929	0.00444771300964	0.00484038037212
HO_PAX5_HUMAN.H10MO.A.bed	0.0372162042823	2.57905382967	0.0060440768151	0.00671447701643
HO_SP3_HUMAN.H10MO.B.bed	0.0372188205814	2.91336729163	0.00253413547821	0.00721947040681
HO_PITX2_HUMAN.H10MO.D.bed	0.0310151866855	2.63327540784	0.00557415085764	0.0073975790885
HO_AIRE_HUMAN.H10MO.C.bed	-0.0568511090357	-2.52798065286	0.00660849119512	0.00760510387086
HO_EGR1_HUMAN.H10MO.A.bed	0.0346737275467	2.52596883901	0.00735226489609	0.00781559170546
HO_MAZ_HUMAN.H10MO.A.bed	0.0319153327507	2.51819969281	0.00733876679542	0.00785333808992
HO_RAX2_HUMAN.H10MO.D.bed	-0.0561226525278	-2.91375656562	0.00251030683085	0.00842464229619
HO_ZEB1_HUMAN.H10MO.B.bed	0.0466329263804	2.96641443328	0.0021595372467	0.00844063033617
HO_FOXA3_HUMAN.H10MO.C.bed	-0.0360257669598	-2.82900122152	0.00461830888665	0.00930923269291
HO_PROX1_HUMAN.H10MO.D.bed	0.0556279055159	2.76519142177	0.00441858130036	0.00976658832252
HO_THA_HUMAN.H10MO.C.bed	0.0336459849834	2.58754489099	0.00648594912079	0.0106876436669
HO_WT1_HUMAN.H10MO.D.bed	0.049088450055	2.81547959029	0.00378253794276	0.0110712640242
HO_PAX5_HUMAN.H10MO.S.bed	0.0355169283146	2.97878322228	0.00265892998277	0.0131105701458
HO_GATA1_HUMAN.H10MO.A.bed	-0.0686587468229	-2.4051552137	0.00985266378538	0.0132959104977
HO_HES5_HUMAN.H10MO.D.bed	0.0765362322266	2.47304729607	0.00780792738476	0.0136745394908
HO_KLF6_HUMAN.H10MO.D.bed	0.0387163818935	2.55983195706	0.00739874729516	0.0139488147535
HO_THAP1_HUMAN.H10MO.D.bed	0.0514455258396	2.29685122227	0.0134723650525	0.0140191331147
HO_GATA6_HUMAN.H10MO.B.bed	-0.0549467795698	-2.51780451048	0.00702767388682	0.0156414547273
HO_FOXP3_HUMAN.H10MO.D.bed	-0.0446182856636	-2.69930319825	0.00388167068071	0.0173996566877
HO_RREB1_HUMAN.H10MO.D.bed	0.0429308406597	2.18683311136	0.0165007833366	0.0183947862935
HO_RXRB_HUMAN.H10MO.C.bed	0.0305556936247	2.36022545673	0.0125591154037	0.0193985372862
HO_HXD9_HUMAN.H10MO.D.bed	-0.0402237146145	-2.7769544744	0.00383968026618	0.0195336115129
HO_ETV1_HUMAN.H10MO.B.bed	0.0489396967544	2.3598846851	0.0107762901423	0.0199066339516
HO_EGR4_HUMAN.H10MO.D.bed	0.0449805972829	2.39616994739	0.0104379076603	0.0205236159823
HO_PAX2_HUMAN.H10MO.D.bed	0.107795176267	2.11551126228	0.0194406245317	0.0210853474193
